what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595303834837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595303840638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595303841773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595303876729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595303877738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595303908423
error,log,,,"No Byte Stream Services found for Nios II Console View",1595303918529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595303939855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595303941577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595303943612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595303947755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595303952722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595303975613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595303981667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595375450932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595375452944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595375454957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595375469981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595375470211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595375472185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595375472402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595375473808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595375475655
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1595375475890
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1595375476501
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1595375476502
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1595375476505
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1595375477504
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1595375477504
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1595375477504
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1595375477504
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1595375477504
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1595375477504
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1595375477504
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1595375477504
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1595375477504
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1595375477531
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1595375477533
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1595375477533
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1595375477537
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1595375477539
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1595375477539
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1595375477539
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1595375477539
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1595375477541
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1595375477541
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1595375477541
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1595375477545
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1595375477545
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1595375477549
stopped,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1595375477549
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1595375477549
stopped,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1595375477549
stopped,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1595375477549
stopped,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1595375477549
stopped,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1595375477549
stopped,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1595375477549
stopped,bundle,com.altera.sbtgui.flash.plugin,13.13.0.132,"com.altera.sbtgui.flash.plugin",1595375477549
stopped,bundle,com.altera.sbtgui.gprof,13.13.0.132,"com.altera.sbtgui.gprof",1595375477551
stopped,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1595375477551
stopped,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1595375477551
stopped,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1595375477551
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1595375477553
stopped,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1595375477553
stopped,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1595375477553
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1595375477555
stopped,bundle,org.eclipse.rse.importexport,1.2.200.v201105021534,"org.eclipse.rse.importexport",1595375477558
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.200.v201101042155,"org.eclipse.rse.subsystems.shells.telnet",1595375477560
stopped,bundle,org.eclipse.rse.shells.ui,3.0.301.R33x_v201107181530,"org.eclipse.rse.shells.ui",1595375477562
stopped,bundle,org.eclipse.rse.files.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.files.ui",1595375477565
